UC -- FEAT Traceability Matrix  (condensed),1：教师信息  2：学生信息  3：课程信息  4：账号密码 5：交流论坛 6：课程答疑  8：管理中心
UC1: 教师用例: ,
UC1.1: 登陆: ,FEAT4
UC1.2: 注销: ,FEAT4
UC1.3: 修改密码: ,FEAT4
UC1.4: 密码找回: ,FEAT4
UC1.5: 重置密码: ,FEAT4
UC1.6: 课程资料管理: ,FEAT3
UC1.6.1: 下载课程资料: ,FEAT3
UC1.6.1.1: 下载我的课程资料: ,FEAT3
UC1.6.1.2: 下载其他教师的课程资料: ,FEAT3
UC1.6.2: 上传课程资料: ,FEAT3
UC1.6.3: 删除课程资料: ,FEAT3
UC1.6.4: 添加课程链接: ,FEAT3
UC1.6.5: 删除课程链接: ,FEAT3
UC1.6.6: 修改课程链接: ,FEAT3
UC1.7: 课程通知管理: ,FEAT3
UC1.7.1: 发布课程通知: ,FEAT3
UC1.7.2: 查看历史通知: ,FEAT3
UC1.7.3: 查看通知详细信息: ,FEAT3
UC1.7.4: 删除课程通知: ,FEAT3
UC1.8: 查看信息: ,
UC1.8.1: 查看课程信息: ,FEAT3
UC1.8.2: 查看我的课程信息: ,FEAT3
UC1.8.3: 修改我的课程信息: ,FEAT3
UC1.8.4: 查看其他教师的课程信息: ,FEAT3
UC1.8.5: 添加课程关注: ,FEAT3
UC1.8.6: 取消课程关注: ,FEAT3
UC1.8.7: 查看教师信息: ,FEAT1
UC1.8.8: 查看网站链接信息: ,
UC1.8.9: 查看课程链接信息: ,FEAT3
UC1.8.10: 查看课程内论坛交流帖: ,FEAT5
UC1.8.11: 课程内论坛交流帖排序: ,FEAT5
UC1.8.12: 课程论坛内交流帖置顶: ,FEAT5
UC1.8.13: 课程论坛内交流帖取消置顶: ,FEAT5
UC1.8.14: 查看交流论坛交流帖: ,FEAT5
UC1.8.15: 交流论坛交流帖排序: ,FEAT5
UC1.8.16: 查看网站通知: ,
UC1.9: 新增交流帖: ,FEAT5
UC1.9.1: 新增交流论坛交流帖: ,FEAT5
UC1.9.2: 添加1-3个附件: ,FEAT5
UC1.9.3: 新增课程论坛交流帖: ,FEAT5
UC1.9.4: 添加附件: ,FEAT5
UC1.9.5: 课程论坛发帖时置顶: ,FEAT5
UC1.10: 删除交流帖: ,FEAT5
UC1.10.1: 删除论坛中心交流帖: ,FEAT5
UC1.10.2: 删除课程论坛交流帖: ,FEAT5
UC1.11: 评论他人交流帖: ,FEAT5
UC1.12: 发帖、评论、回复时发送表情和图片: ,FEAT5
UC1.13: 站内搜索: ,
UC1.13.1: 课程信息搜索: ,FEAT3
UC1.13.2: 教师信息搜索: ,FEAT1
UC1.13.3: 论坛信息搜索: ,FEAT5
UC1.13.4: 课程内信息搜索: ,FEAT3
UC1.14: 创建课程答疑预约: ,FEAT6
UC1.14.1: 答疑未开始时修改答疑时间: ,FEAT6
UC1.14.2: 答疑未开始时删除答疑时间: ,FEAT6
UC1.15: 开始课程答疑: ,FEAT6
UC1.15.1: 教师发言: ,FEAT6
UC1.15.2: 教师发言时发送表情和图片: ,FEAT6
UC1.15.3: 过程中修改答疑结束时间: ,FEAT6
UC1.16: 关闭课程答疑: ,FEAT6
UC1.17: 查看历史答疑记录: ,FEAT6
UC1.17.1: 下载历史答疑记录: ,FEAT6
UC1.18: 查看个人信息: ,FEAT1
UC1.18.1: 修改个人信息: ,FEAT1
UC1.18.2: 修改头像: ,FEAT1
UC1.19: 申请新课程: ,FEAT1
UC1.20: 查看我关注的课程: ,FEAT3
UC1.21: 修改介绍: ,FEAT3
UC1.22: 查看动态消息: ,FEAT5
UC1.22.1: 信息回复: ,FEAT5
UC1.22.2: 删除我的评论: ,FEAT5
UC1.22.3: 删除别人的评论: ,FEAT5
UC3: 学生用例: ,
UC3.1: 登陆: ,FEAT4
UC3.2: 注销: ,FEAT4
UC3.3: 修改密码: ,FEAT4
UC3.4: 密码找回: ,FEAT4
UC3.5: 重置密码: ,FEAT4
UC3.6: 下载资料: ,FEAT3
UC3.7: 查看信息: ,
UC3.7.1: 查看我的关注课程信息: ,FEAT3
UC3.7.2: 取消课程关注: ,FEAT3
UC3.7.3: 查看其他课程信息: ,FEAT3
UC3.7.4: 添加课程关注: ,FEAT3
UC3.7.5: 查看教师信息: ,FEAT1
UC3.7.6: 查看历史课程通知: ,FEAT3
UC3.7.7: 查看通知详细信息: ,FEAT3
UC3.7.8: 查看网站链接信息: ,
UC3.7.9: 查看课程链接信息: ,FEAT3
UC3.7.10: 查看课程内论坛交流帖: ,FEAT5
UC3.7.11: 课程内论坛交流帖排序: ,FEAT5
UC3.7.12: 查看交流论坛交流帖: ,FEAT5
UC3.7.13: 交流论坛交流帖排序: ,FEAT5
UC3.7.14: 查看网站通知: ,FEAT5
UC3.8: 新增交流帖 : ,FEAT5
UC3.8.1: 新增交流论坛交流帖: ,FEAT5
UC3.8.2: 添加1-3个附件: ,FEAT5
UC3.8.3: 新增课程论坛交流帖 : ,FEAT5
UC3.8.4: 添加1-3个附件: ,FEAT5
UC3.9: 删除交流帖: ,FEAT5
UC3.9.1: 删除交流论坛中心交流帖: ,FEAT5
UC3.9.2: 删除课程论坛内的交流帖: ,FEAT5
UC3.10: 评论他人交流帖: ,FEAT5
UC3.11: 发帖、评论、回复时发表表情和图片: ,FEAT5
UC3.12: 站内搜索: ,
UC3.12.1: 课程信息搜索: ,FEAT3
UC3.12.2: 教师信息搜索: ,FEAT1
UC3.12.3: 论坛信息搜索: ,FEAT5
UC3.12.4: 论坛信息搜索: ,FEAT5
UC3.12.5: 课程内信息搜索: ,FEAT3
UC3.13: 参加答疑: ,FEAT6
UC3.13.1: 学生发言: ,FEAT6
UC3.13.2: 学生发言时发表表情和图片: ,FEAT6
UC3.14: 离开答疑: ,FEAT6
UC3.15: 导出答疑记录: ,FEAT6
UC3.16: 查看历史答疑记录: ,FEAT6
UC3.16.1: 下载历史答疑记录: ,FEAT6
UC3.17: 查看个人信息: ,FEAT2
UC3.17.1: 修改个人信息: ,FEAT2
UC3.17.2: 修改头像: ,FEAT2
